"","n_cells","n_genes","time_devil - a100","time_devil - cpu","time_devil - h100","time_glmGamPoi - cpu","memory_devil - a100","memory_devil - cpu","memory_devil - h100","memory_glmGamPoi - cpu"
"1",500,100,0.297736679281419,0.0220104880458878,0.122301348601468,0.0807878687225569,0.00042228,0.178465984,0.00042228,0.06583962
"2",1000,100,0.352493228002762,0.0255137587548234,0.129767007514602,0.110679675638676,0.00083628,0.001533616,0.00083628,0.02955188
"3",4000,100,0.383959392667748,0.0577469599666074,0.129648370988434,0.309655499372942,0.00332028,0.005277616,0.00332028,0.102113672
"4",500,1000,0.355882362656606,0.0984319858253002,0.136422701238189,0.579447283642367,0.00406908,0.008844016,0.00406908,0.177494528
"5",1000,1000,0.35540961039563,0.17871032069282,0.152005620766431,0.889008119663534,0.00808308,0.014868016,0.00808308,0.296803664
"6",4000,1000,0.403528502016949,0.704768496681936,0.15687539553619,2.57424933168416,0.03216708,0.051012016,0.03216708,1.003691616
"7",500,10000,1.22791483303687,2.50709772304011,0.847297588712536,6.23059989566294,0.04053708,0.088268168,0.04053708,2.298094584
"8",1000,10000,1.13639579639615,3.97011186135933,0.809567882019716,8.85947037030322,0.08055108,0.14829216,0.08055108,3.116798544
"9",4000,10000,1.90914668278613,15.0266026260021,0.949437479682577,23.5144292066495,0.32063508,0.50843604,0.32063508,10.106475632
