"","n_cells","n_genes","time_devil - a100","time_devil - cpu","time_devil - h100","time_glmGamPoi - cpu","memory_devil - a100","memory_devil - cpu","memory_devil - h100","memory_glmGamPoi - cpu"
"1",1000,100,0.52680471597705,0.0252374952251557,0.219442115010073,0.0956485473434441,0.000845176,0.00234096,0.000845176,0.031835136
"2",1e+05,100,0.633383772918023,1.35002708097454,0.357170775998384,6.12879880901892,0.083609176,0.20509296,0.083609176,2.38556292
"3",1e+06,100,3.30370162206236,19.2134770980338,2.1580721209757,67.2734605481382,0.836009176,2.04829296,0.836009176,23.753833016
"4",1000,1000,0.525474446534645,0.205313964669282,0.298404666536953,0.810151093988679,0.008099176,0.02294016,0.008099176,0.322598016
"5",1e+05,1000,2.38867882511113,24.4148205909878,1.30771149904467,55.0653977950569,0.803663176,2.00769216,0.803663176,23.35986464
"6",1e+06,1000,21.9115372089436,299.404772688984,13.6404323000461,644.78659798298,8.036063176,20.05089216,8.036063176,232.631288088
"7",1000,5000,0.901202309993096,2.27687951095868,0.57363219500985,3.99387750902679,0.040339176,0.114532048,0.040339176,1.610021104
"8",1e+05,5000,11.1931549051078,220.486316035967,4.96949161402881,269.731471493025,4.003903176,10.01924416,4.003903176,116.482907368
"9",1e+06,5000,164.200330288033,2660.42515341204,76.4760292259743,3458.49004820804,40.036303176,100.06244416,40.036303176,1161.037624904
