n_genes,n_cells,n_gpus,batch_size,time,gpu_used_memory_mb
1000,1000000,2,1000,38.8315563201904,36260.0
5000,10000,2,100,1.901535987854,1938.0
5000,10000,2,200,1.57193732261658,1972.0
5000,10000,2,500,1.27812743186951,2072.0
5000,10000,2,1000,1.30345320701599,2248.0
5000,100000,2,100,12.7908308506012,2252.0
5000,100000,2,200,12.8778228759766,2592.0
5000,100000,2,500,12.3636891841888,3610.0
5000,100000,2,1000,12.886771440506,5326.0
5000,1000000,2,100,264.286599636078,5334.0
5000,1000000,2,200,178.235451459885,8768.0
5000,1000000,2,500,180.481826782227,19064.0
5000,1000000,2,1000,187.055370569229,36232.0
10000,10000,2,100,9.50232124328613,1914.0
10000,10000,2,200,6.55882596969604,1942.0
10000,10000,2,500,3.8817343711853,2048.0
10000,10000,2,1000,2.72671103477478,2224.0
10000,100000,2,100,33.8563461303711,2228.0
10000,100000,2,200,29.1088962554932,2568.0
10000,100000,2,500,25.7968649864197,3586.0
10000,100000,2,1000,33.9687123298645,5296.0
10000,1000000,2,100,626.43799829483,5310.0
10000,1000000,2,200,483.543308734894,8744.0
10000,1000000,2,500,427.061188459396,19040.0
10000,1000000,2,1000,415.682099819183,36208.0
1000,10000,4,100,0.26076340675354,1830.0
1000,10000,4,200,0.218800067901611,1992.0
1000,10000,4,500,0.278747081756592,2096.0
1000,10000,4,1000,0.432975053787231,2274.0
1000,100000,4,100,1.64340734481812,2276.0
1000,100000,4,200,1.5573525428772,2612.0
1000,100000,4,500,2.50467681884766,3640.0
1000,100000,4,1000,3.96296977996826,5352.0
1000,1000000,4,100,33.382435798645,5368.0
1000,1000000,4,200,28.3428552150726,8802.0
1000,1000000,4,500,26.4772336483002,19098.0
1000,1000000,4,1000,38.9437937736511,36260.0
5000,10000,4,100,1.20265412330627,1946.0
5000,10000,4,200,0.994061708450317,1976.0
5000,10000,4,500,0.838967084884644,2078.0
5000,10000,4,1000,1.03728437423706,2254.0
5000,100000,4,100,8.31928491592407,2256.0
5000,100000,4,200,8.57802820205688,2590.0
5000,100000,4,500,8.91088080406189,3620.0
5000,100000,4,1000,9.79841947555542,5330.0
5000,1000000,4,100,176.15959405899,5348.0
5000,1000000,4,200,130.678493499756,8774.0
5000,1000000,4,500,101.919170379639,19074.0
5000,1000000,4,1000,119.270009040833,36238.0
