"","author","patients","MAST (cell)","NEBULA","Seurat (cell)","devil (MLE-NB)","devil (MOM-NB)","edgeR (Pb)","glmGamPoi (cell)","limma (Pb)","limma (cell)","limmaDupCorr (cell)"
"1","bca",4,"0.978 [0.931, 1.000]","0.960 [0.761, 0.990]","0.000 [0.000, 0.328]","0.979 [0.768, 1.000]","0.979 [0.768, 1.000]","0.000 [0.000, 0.000]","0.951 [0.761, 0.992]","0.000 [0.000, 0.000]","0.363 [-0.162, 0.884]","0.321 [0.062, 0.562]"
"2","bca",20,"0.980 [0.943, 1.000]","0.960 [0.877, 0.995]","0.000 [0.000, 0.196]","0.989 [0.933, 1.000]","0.989 [0.933, 1.000]","0.488 [0.000, 0.694]","0.960 [0.881, 1.000]","0.874 [0.744, 0.938]","0.125 [-0.324, 0.830]","0.361 [-0.078, 0.693]"
"3","hsc",4,"0.980 [0.927, 1.000]","0.980 [0.898, 1.000]","0.000 [0.000, 0.483]","0.983 [0.885, 1.000]","0.983 [0.885, 1.000]","0.000 [0.000, 0.000]","0.978 [0.909, 1.000]","0.000 [0.000, 0.308]","0.427 [-0.166, 0.952]","0.438 [0.059, 0.687]"
"4","hsc",20,"0.973 [0.941, 1.000]","0.978 [0.881, 1.000]","0.000 [0.000, 0.314]","0.990 [0.943, 1.000]","0.990 [0.943, 1.000]","0.830 [0.598, 0.911]","0.976 [0.881, 1.000]","0.937 [0.773, 0.979]","0.077 [-0.457, 0.863]","0.691 [0.691, 0.691]"
"5","kumar",4,"0.967 [0.927, 1.000]","0.934 [0.639, 0.980]","0.000 [0.000, 0.217]","0.937 [0.583, 1.000]","0.937 [0.583, 1.000]","0.000 [0.000, 0.000]","0.929 [0.617, 0.989]","0.000 [0.000, 0.000]","0.310 [-0.017, 0.848]","0.314 [0.094, 0.616]"
"6","kumar",20,"0.979 [0.951, 1.000]","0.969 [0.916, 1.000]","0.000 [0.000, 0.138]","0.989 [0.943, 1.000]","0.989 [0.943, 1.000]","0.000 [0.000, 0.260]","0.969 [0.899, 0.989]","0.522 [0.355, 0.734]","0.323 [-0.178, 0.849]","0.445 [0.159, 0.732]"
"7","yazar",4,"0.966 [0.908, 1.000]","0.643 [0.443, 0.909]","0.000 [0.000, 0.236]","0.609 [0.396, 0.891]","0.609 [0.396, 0.891]","0.000 [0.000, 0.198]","0.639 [0.394, 0.891]","0.245 [0.000, 0.417]","0.354 [0.166, 0.524]","0.323 [0.102, 0.552]"
"8","yazar",20,"0.980 [0.943, 1.000]","0.961 [0.873, 1.000]","0.000 [0.000, 0.198]","0.972 [0.883, 1.000]","0.972 [0.883, 1.000]","0.769 [0.541, 0.913]","0.961 [0.848, 1.000]","0.905 [0.677, 0.981]","0.501 [-0.101, 0.787]","0.457 [-0.020, 0.817]"
