"","author","patients","MAST (cell)","NEBULA","Seurat (cell)","devil (MLE-NB)","devil (MOM-NB)","edgeR (Pb)","glmGamPoi (cell)","limma (Pb)","limma (cell)","limmaDupCorr (cell)"
"1","bca",4,"0.125 [0.063, 0.315]","0.151 [0.027, 0.289]","0.147 [0.000, 0.463]","0.147 [0.031, 0.294]","0.144 [0.028, 0.286]","0.000 [-0.010, 0.000]","0.073 [-0.029, 0.178]","0.000 [-0.012, 0.045]","0.011 [-0.089, 0.097]","0.007 [-0.074, 0.082]"
"2","bca",20,"0.121 [0.060, 0.311]","0.664 [0.463, 0.823]","0.164 [0.072, 0.607]","0.675 [0.448, 0.797]","0.682 [0.433, 0.795]","0.138 [0.000, 0.476]","0.122 [0.063, 0.258]","0.544 [0.275, 0.728]","0.058 [-0.124, 0.203]","0.000 [-0.013, 0.150]"
"3","hsc",4,"0.119 [0.065, 0.227]","0.177 [0.051, 0.375]","0.149 [0.066, 0.331]","0.207 [0.053, 0.381]","0.190 [0.051, 0.383]","0.000 [-0.013, 0.043]","0.091 [0.010, 0.195]","0.000 [-0.013, 0.103]","0.020 [-0.078, 0.133]","0.007 [-0.068, 0.095]"
"4","hsc",20,"0.145 [0.071, 0.360]","0.844 [0.358, 0.941]","0.167 [0.074, 0.474]","0.857 [0.374, 0.945]","0.866 [0.370, 0.947]","0.590 [0.332, 0.822]","0.142 [0.068, 0.335]","0.801 [0.377, 0.931]","0.085 [-0.116, 0.203]","-0.008 [-0.010, -0.005]"
"5","kumar",4,"0.171 [0.072, 0.389]","0.146 [0.025, 0.338]","0.213 [0.000, 0.859]","0.138 [0.023, 0.344]","0.136 [0.022, 0.344]","0.000 [0.000, 0.000]","0.086 [-0.027, 0.268]","0.000 [-0.009, 0.012]","0.019 [-0.075, 0.136]","0.000 [-0.050, 0.099]"
"6","kumar",20,"0.156 [0.063, 0.357]","0.479 [0.247, 0.669]","0.244 [0.080, 0.772]","0.491 [0.242, 0.659]","0.492 [0.242, 0.659]","0.000 [0.000, 0.198]","0.135 [0.038, 0.320]","0.138 [0.000, 0.441]","0.045 [-0.137, 0.201]","0.000 [-0.015, 0.131]"
"7","yazar",4,"0.556 [0.319, 0.758]","0.241 [-0.073, 0.511]","0.534 [0.101, 0.936]","0.251 [-0.052, 0.502]","0.247 [-0.052, 0.505]","0.000 [-0.008, 0.182]","0.229 [-0.073, 0.467]","0.065 [0.000, 0.277]","0.031 [-0.118, 0.205]","0.000 [-0.028, 0.153]"
"8","yazar",20,"0.653 [0.323, 0.971]","0.866 [0.420, 0.960]","0.584 [0.114, 0.971]","0.874 [0.476, 0.963]","0.874 [0.480, 0.964]","0.629 [0.485, 0.827]","0.453 [0.151, 0.917]","0.844 [0.525, 0.954]","0.095 [-0.197, 0.486]","0.195 [0.000, 0.396]"
