"","author","patients","MAST (cell)","NEBULA","devil (MOM-NB)","edgeR (Pb)","glmGamPoi (cell)","limma (Pb)"
"1","bca",4,"0.057 ± 0.053","0.960 ± 0.074","0.979 ± 0.112","0.000 ± 0.000","0.951 ± 0.098","0.000 ± 0.033"
"2","bca",20,"0.032 ± 0.056","0.960 ± 0.040","0.989 ± 0.022","0.485 ± 0.181","0.960 ± 0.039","0.869 ± 0.070"
"3","hsc",4,"0.053 ± 0.057","0.980 ± 0.041","0.983 ± 0.065","0.000 ± 0.000","0.978 ± 0.066","0.000 ± 0.104"
"4","hsc",20,"0.021 ± 0.055","0.978 ± 0.042","0.990 ± 0.031","0.829 ± 0.129","0.978 ± 0.051","0.937 ± 0.073"
"5","kumar",4,"0.058 ± 0.050","0.934 ± 0.116","0.937 ± 0.134","0.000 ± 0.000","0.929 ± 0.124","0.000 ± 0.000"
"6","kumar",20,"0.056 ± 0.054","0.970 ± 0.028","0.989 ± 0.020","0.000 ± 0.102","0.970 ± 0.030","0.519 ± 0.115"
"7","yazar",4,"0.065 ± 0.052","0.643 ± 0.145","0.609 ± 0.154","0.000 ± 0.075","0.639 ± 0.161","0.245 ± 0.132"
"8","yazar",20,"0.066 ± 0.053","0.961 ± 0.047","0.972 ± 0.038","0.769 ± 0.116","0.961 ± 0.054","0.905 ± 0.103"
