method,Variable,Slope Linear,Slope LOESS
NEBULA,Patients,0.004258064602079745,0.003999478294134712
devil,Patients,2.476921583808893e-4,2.5892207756868696e-4
glmGamPoi,Patients,9.920509556609408e-6,2.223604405361351e-6
glmGamPoi,Covariates,0.03974422612156901,0.05369302288756658
devil,Covariates,0.02473695028927877,0.026022933802827386
NEBULA,Covariates,0.014816227012873653,0.014918220056152287
